seller_id,seller_zip_code_prefix,seller_city,seller_state
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG
b2a6d334e2833acea353624840e25a0e,4133,sao paulo,SP
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG
41ab63a91b8b264e8c8780368bf1dd5b,31555,belo horizonte,MG
d71d863e5ef30d94e440c11be17dcd8f,6144,osasco,SP
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP
ef990a83bbea832f36ebe81376335aa8,89214,joinville,SC
2d50d6282f8aa2257819a77bfaa0efe0,14940,ibitinga,SP
a416b6a846a11724393025641d4edd5e,3702,sao paulo,SP
7e93a43ef30c4f03f38b393420bc753a,6429,barueri,SP
ef506c96320abeedfb894c34db06f478,3569,sao paulo,SP
7299e27ed73d2ad986de7f7c77d919fa,38440,araguari,MG
b2479f944e1b90cf8a5de1bbfde284d6,14940,ibitinga,SP
7722b1df1b0e383e000397b2c11e3e19,9715,sao bernardo do campo,SP
669ae81880e08f269a64487cfb287169,89160,rio do sul,SC
1996942dc085d7773ba77a529b163cd0,14850,pradopolis,SP
709e16e2b25c7474d980076c6bfc4806,16200,birigui,SP
0c8380b62e38e8a1e6adbeba7eb9688c,37410,tres coracoes,MG
37be5a7c751166fbc5f8ccba4119e043,4248,sao paulo,SP
e24d3429d294b2eb200b064ebb035879,3514,sao paulo,SP
7b07b3c7487f0ea825fc6df75abd658b,2016,sao paulo,SP
784ba75dd9d20200c4caed3d7a77141a,1040,sao paulo,SP
ea00f977a203ff88adf7057cb7806998,11085,santos,SP
f22a247b79dd22ecd91dc8e3b2a1b07c,8573,itaquaquecetuba,SP
ffc470761de7d0232558ba5e786e57b7,7091,guarulhos,SP
f12ff17ad8bbf01ec5c33b17e506649b,3186,sao paulo,SP
6a8a889bde935bafa76d7848782dfaf9,2839,sao paulo,SP
229c3efbfb0ea2058de4ccdfbc3d784a,30190,belo horizonte,MG
95ec4458365c4d11f452ccf538377619,13481,limeira,SP
fa40cc5b934574b62717c68f3d678b6d,2310,sao paulo,SP
aaed1309374718fdd995ee4c58c9dfcd,89120,timbo,SC
9e6229250fedbe05838fef417b74e7fb,16800,mirandopolis,SP
817245bcc3badd82bbd222e0366951a6,17056,bauru,SP
3db66a856d18a9cba7c9241fc5221c50,35430,ponte nova,MG
a17f621c590ea0fab3d5d883e1630ec6,18055,sorocaba,SP
ececbfcff9804a2d6b40f589df8eef2b,14407,franca,SP
7d13fca15225358621be4086e1eb0964,14050,ribeirao preto,SP
1b4c3a6f53068f0b6944d2d005c9fc89,88730,sao ludgero,SC
b92e3c8f9738272ff7c59e111e108d7c,36502,uba,MG
a3e9a2c700480d9bb01fba070ba80a0e,14940,ibitinga,SP
516e7738bd8f735ac19a010ee5450d8d,22230,rio de janeiro,RJ
9f505651f4a6abe901a56cdc21508025,4102,sao paulo,SP
7142540dd4c91e2237acb7e911c4eba2,16301,penapolis,SP
a3a38f4affed601eb87a97788c949667,89204,joinville,SC
8b9d6eec4a7eb7d0f9d579ce0b38324d,26562,mesquita,RJ
79ebd9a61bac3eaf882805ed4ecfa12a,85802,cascavel,PR
5f3ae9136c875522250f8184f253413a,1550,sao paulo,SP
8e6d7754bc7e0f22c96d255ebda59eba,12233,sao jose dos campos,SP
8b321bb669392f5163d04c59e235e066,1212,sao paulo,SP
b4f8921fcc4ff77b66bea6dda43dcd51,95034,caxias do sul,RS
aba1721a889e04decc910aa13b768ef4,5729,sao paulo,SP
cab85505710c7cb9b720bceb52b01cee,2252,sao paulo,SP
3df020b72d3d44b3af9d110fa3940b65,15704,jales,SP
537eb890efff034a88679788b647c564,20270,rio de janeiro,RJ
cea729054f157f5870bdd321a958d994,3161,sao paulo,SP
955fee9216a65b617aa5c0531780ce60,4782,sao paulo,SP
7d7866a99a8656a42c7ff6352a433410,1320,sao paulo,SP
01cf7e3d21494c41fb86034f2e714fa1,85603,francisco beltrao,PR
ceaec5548eefc6e23e6607c5435102e7,3821,sao paulo,SP
e9bc59e7b60fc3063eb2290deda4cced,87083,maringa,PR
5670f4db5b62c43d542e1b2d56b0cf7c,3694,sao paulo,SP
610f72e407cdd7caaa2f8167b0163fd8,1201,sao paulo,SP
5b2e94f2c22b39ccc24d34ad0f669672,1214,sao paulo,SP
cfb1a033743668a192316f3c6d1d2671,18110,votorantim,SP
6a51fc556dab5f766ced6fbc860bc613,17500,marilia,SP
dc64d75cc406bb0697be983831430e60,31560,belo horizonte,MG
259f7b5e6e482c230e5bfaa670b6bb8f,8550,poa,SP
dd7ddc04e1b6c2c614352b383efe2d36,3471,sao paulo,SP
f457c46070d02cadd8a68551231220dd,87047,maringa,PR
1f50f920176fa81dab994f9023523100,15025,sao jose do rio preto,SP
2b1a40c1daabc6ca280c4b815c101841,35500,divinopolis,MG
f7ba60f8c3f99e7ee4042fdef03b70c4,9628,sao bernardo do campo,SP
5bc237df65098fe211bb4818f4d26d78,38410,uberlandia,MG
6a38087bc8ad4f89ff453561005f6dea,75123,anapolis,GO
f84a00e60c73a49e7e851c9bdca3a5bb,20756,rio de janeiro,RJ
f45122a9ab94eb4f3f8953578bc0c560,13419,piracicaba,SP
7901646fdd36a55f564ffaf2dbccaaf7,20021,rio de janeiro,RJ
